SENTIDO,LATITUD,LONGITUD,anio,mes,dia,hr,greater_mean
Interna,-34.53698,-58.470968,2020,12,9,2,False
Interna,-34.579632,-58.427733,2021,9,30,11,True
Interna,-34.579632,-58.427733,2021,1,15,10,True
Interna,-34.588796,-58.38152,2020,5,27,2,False
Interna,-34.618036,-58.410236,2020,7,2,0,False
Ingreso,-34.633299,-58.468594,2021,9,26,13,True
Interna,,,2021,5,18,6,False
Egreso,-34.588796,-58.38152,2020,3,5,5,False
Interna,-34.588796,-58.38152,2020,9,29,12,True
Interna,-34.60855,-58.372951,2021,10,10,12,True
Interna,-34.60855,-58.372951,2020,5,1,20,False
Interna,-34.60855,-58.372951,2020,9,22,22,False
Ingreso,-34.633299,-58.468594,2020,7,12,4,False
Interna,-34.60855,-58.372951,2020,10,10,1,False
Interna,-34.588796,-58.38152,2021,2,5,19,True
Interna,-34.579632000000004,-58.427733,2020,3,26,10,True
Interna,-34.588796,-58.38152,2021,1,20,14,True
Egreso,-34.588796,-58.38152,2020,6,2,3,False
Ingreso,-34.633299,-58.468594,2021,6,27,8,False
Ingreso,-34.588796,-58.38152,2020,6,8,21,False
Egreso,-34.588796,-58.38152,2020,11,14,5,False
Egreso,-34.633299,-58.468594,2021,11,14,23,False
Interna,-34.633299,-58.468594,2021,2,17,20,False
Interna,-34.579632,-58.427733,2022,2,25,14,True
Egreso,-34.588796,-58.38152,2020,3,24,21,False
Ingreso,-34.633299,-58.468594,2021,10,20,5,False
Ingreso,-34.588796,-58.38152,2021,4,23,4,False
Ingreso,-34.633299,-58.468594,2021,8,20,22,False
Interna,-34.579632,-58.427733,2021,6,13,4,False
Interna,-34.60855,-58.372951,2020,8,6,23,False
Interna,-34.618036,-58.410236,2020,10,2,20,True
Interna,-34.60855,-58.372951,2022,2,18,3,False
Interna,-34.618036,-58.410236,2020,3,16,20,True
Interna,-34.53698,-58.470968,2020,10,28,15,True
Interna,-34.618036,-58.410236,2021,4,27,11,True
Ingreso,-34.633299,-58.468594,2021,3,13,9,True
Ingreso,-34.588796,-58.38152,2020,7,30,7,True
Interna,-34.588796,-58.38152,2021,6,22,20,True
Interna,-34.60855,-58.372951,2021,12,7,1,False
Interna,-34.60855,-58.372951,2020,10,30,8,True
Egreso,-34.633299,-58.468594,2020,5,12,13,True
Ingreso,-34.588796,-58.38152,2020,7,5,18,False
Interna,-34.53698,-58.470968,2022,1,6,2,False
Interna,-34.579632,-58.427733,2020,11,11,17,True
Interna,-34.53698,-58.470968,2022,1,27,7,True
Interna,-34.633299,-58.468594,2021,5,9,3,False
Interna,-34.618036,-58.410236,2021,6,10,22,False
Interna,-34.579632,-58.427733,2021,12,27,8,False
Interna,-34.618036,-58.410236,2021,4,24,15,False
Interna,-34.618036,-58.410236,2020,3,18,19,False
Interna,-34.588796,-58.38152,2020,10,3,5,False
Interna,-34.618036,-58.410236,2021,3,5,7,True
Ingreso,-34.633299,-58.468594,2020,11,26,4,False
Egreso,-34.579632,-58.427733,2022,2,16,12,False
Interna,-34.579632,-58.427733,2020,9,14,1,False
Interna,-34.60855,-58.372951,2021,6,24,12,True
Interna,-34.60855,-58.372951,2020,10,19,9,True
Interna,-34.633299,-58.468594,2021,5,18,9,False
Interna,-34.588796,-58.38152,2020,8,17,21,False
Interna,-34.53698,-58.470968,2020,7,13,11,False
Egreso,-34.579632000000004,-58.427733,2020,4,22,12,False
Ingreso,-34.588796,-58.38152,2022,3,5,21,True
Interna,-34.588796,-58.38152,2022,1,24,11,True
Ingreso,-34.588796,-58.38152,2021,2,15,21,False
Interna,-34.60855,-58.372951,2021,12,1,3,False
Ingreso,-34.588796,-58.38152,2020,10,4,6,False
Egreso,-34.633299,-58.468594,2021,12,13,4,False
Egreso,-34.633299,-58.468594,2022,2,4,3,False
Egreso,-34.588796,-58.38152,2020,5,26,20,False
Egreso,-34.588796,-58.38152,2020,4,7,5,False
Egreso,-34.633299,-58.468594,2020,11,22,19,True
Interna,-34.579632,-58.427733,2020,7,6,11,True
Interna,-34.60855,-58.372951,2021,7,17,14,False
Interna,-34.618036,-58.410236,2021,10,18,3,False
Egreso,-34.633299,-58.468594,2021,12,30,18,True
Interna,-34.588796,-58.38152,2021,4,20,15,True
