"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
21	0.947068831959276	12	12	"Churn"	"Yes"	0
22	0.918074879838098	12	12	"Churn"	"Yes"	0
23	0.899141338421698	12	12	"Churn"	"Yes"	0
24	0.888709058648636	12	12	"Churn"	"Yes"	0
25	0.927321022008601	12	12	"Churn"	"Yes"	0
26	0.944029659277504	12	12	"Churn"	"Yes"	0
27	0.923385269615532	12	12	"Churn"	"Yes"	0
28	0.8830824916497	12	12	"Churn"	"Yes"	0
29	0.909493161705551	12	12	"Churn"	"Yes"	0
30	0.895405651553193	12	12	"Churn"	"Yes"	0
1	0.882091729305619	13	13	"Churn"	"Yes"	0
2	0.918148424496355	13	13	"Churn"	"Yes"	0
3	0.889699859404609	13	13	"Churn"	"Yes"	0
4	0.92465416235908	13	13	"Churn"	"Yes"	0
5	0.883291171262332	13	13	"Churn"	"Yes"	0
6	0.887923799932863	13	13	"Churn"	"Yes"	0
7	0.924615293560606	13	13	"Churn"	"Yes"	0
8	0.942315369261477	13	13	"Churn"	"Yes"	0
9	0.921810624121279	13	13	"Churn"	"Yes"	0
10	0.91344696969697	13	13	"Churn"	"Yes"	0
11	0.89515806322529	13	13	"Churn"	"Yes"	0
12	0.887788704438831	13	13	"Churn"	"Yes"	0
13	0.877033433133732	13	13	"Churn"	"Yes"	0
14	0.88658256753611	13	13	"Churn"	"Yes"	0
15	0.895259232954545	13	13	"Churn"	"Yes"	0
16	0.906416187470275	13	13	"Churn"	"Yes"	0
17	0.895824102791316	13	13	"Churn"	"Yes"	0
18	0.927505446623094	13	13	"Churn"	"Yes"	0
19	0.858272126755358	13	13	"Churn"	"Yes"	0
20	0.923526278409091	13	13	"Churn"	"Yes"	0
21	0.936917590712687	13	13	"Churn"	"Yes"	0
22	0.914937478462069	13	13	"Churn"	"Yes"	0
23	0.881914511494253	13	13	"Churn"	"Yes"	0
24	0.911055963170767	13	13	"Churn"	"Yes"	0
25	0.868454338477106	13	13	"Churn"	"Yes"	0
26	0.889379158860392	13	13	"Churn"	"Yes"	0
27	0.924663941241685	13	13	"Churn"	"Yes"	0
28	0.903236398329761	13	13	"Churn"	"Yes"	0
29	0.912907943349754	13	13	"Churn"	"Yes"	0
30	0.948877245508982	13	13	"Churn"	"Yes"	0
1	0.916447679924242	14	14	"Churn"	"Yes"	0
2	0.913272660130797	14	14	"Churn"	"Yes"	0
3	0.93168799862251	14	14	"Churn"	"Yes"	0
4	0.893011083743842	14	14	"Churn"	"Yes"	0
5	0.906796140402698	14	14	"Churn"	"Yes"	0
6	0.895854871264707	14	14	"Churn"	"Yes"	0
7	0.86340539541759	14	14	"Churn"	"Yes"	0
8	0.923650075414781	14	14	"Churn"	"Yes"	0
9	0.909823327856115	14	14	"Churn"	"Yes"	0
10	0.890764069560455	14	14	"Churn"	"Yes"	0
11	0.900029668172897	14	14	"Churn"	"Yes"	0
12	0.938790274199809	14	14	"Churn"	"Yes"	0
13	0.905166961801164	14	14	"Churn"	"Yes"	0
14	0.868914716195621	14	14	"Churn"	"Yes"	0
15	0.898514579130754	14	14	"Churn"	"Yes"	0
16	0.917649147727273	14	14	"Churn"	"Yes"	0
17	0.878782321657803	14	14	"Churn"	"Yes"	0
18	0.917916772071844	14	14	"Churn"	"Yes"	0
19	0.863689509181312	14	14	"Churn"	"Yes"	0
20	0.904756626132068	14	14	"Churn"	"Yes"	0
21	0.935936702399183	14	14	"Churn"	"Yes"	0
22	0.918913136499786	14	14	"Churn"	"Yes"	0
23	0.89675571436674	14	14	"Churn"	"Yes"	0
24	0.906072432990874	14	14	"Churn"	"Yes"	0
25	0.898955480937217	14	14	"Churn"	"Yes"	0
26	0.917417145810453	14	14	"Churn"	"Yes"	0
27	0.888159422947613	14	14	"Churn"	"Yes"	0
28	0.905379321920107	14	14	"Churn"	"Yes"	0
29	0.936050288509305	14	14	"Churn"	"Yes"	0
30	0.943918820443063	14	14	"Churn"	"Yes"	0
1	0.898155578483447	15	15	"Churn"	"Yes"	0
2	0.930057059811548	15	15	"Churn"	"Yes"	0
